2026-02-23 21:01:51,973 | nova.main            | INFO     | ============================================================
2026-02-23 21:01:51,973 | nova.main            | INFO     |   Nova Voice Assistant — Initialising …
2026-02-23 21:01:51,973 | nova.main            | INFO     | ============================================================
2026-02-23 21:01:51,976 | comtypes             | DEBUG    | CoInitializeEx(None, 2)
2026-02-23 21:01:52,002 | comtypes.client._code_cache | INFO     | Could not import comtypes.gen, trying to create it.
2026-02-23 21:01:52,003 | comtypes.client._code_cache | INFO     | Created comtypes.gen directory: 'C:\Users\arunt\AppData\Roaming\Python\Python314\site-packages\comtypes\gen'
2026-02-23 21:01:52,004 | comtypes.client._code_cache | INFO     | Writing __init__.py file: 'C:\Users\arunt\AppData\Roaming\Python\Python314\site-packages\comtypes\gen\__init__.py'
2026-02-23 21:01:52,006 | comtypes.client._code_cache | INFO     | Using writeable comtypes cache directory: 'C:\Users\arunt\AppData\Roaming\Python\Python314\site-packages\comtypes\gen'
2026-02-23 21:01:52,008 | comtypes.client._create | DEBUG    | SAPI.SpVoice -> {96749377-3391-11D2-9EE3-00C04F797396}
2026-02-23 21:01:52,008 | comtypes.client._create | DEBUG    | CoCreateInstance({96749377-3391-11D2-9EE3-00C04F797396}, clsctx=None, interface=None)
2026-02-23 21:01:52,023 | comtypes.client._managing | DEBUG    | GetBestInterface(<POINTER(IUnknown) ptr=0x23e7fa6c7c0 at 23e115d62b0>)
2026-02-23 21:01:52,023 | comtypes.client._managing | DEBUG    | Does implement IProvideClassInfo
2026-02-23 21:01:52,027 | comtypes.client._managing | DEBUG    | Default interface is {269316D8-57BD-11D2-9EEE-00C04F797396}
2026-02-23 21:01:52,027 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(IUnknown) ptr=0x23e7fa6c800 at 23e115d6f30>
2026-02-23 21:01:52,027 | comtypes.client._generate | DEBUG    | GetModule(TLIBATTR(GUID={C866CA3A-32F7-11D2-9602-00C04F8EE628}, Version=5.4, LCID=0, FLags=0x8))
2026-02-23 21:01:52,027 | comtypes.client._generate | INFO     | Could not import comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4: No module named 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4'
2026-02-23 21:01:52,030 | comtypes.client._generate | INFO     | # Generating comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4
2026-02-23 21:01:52,031 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeInfo) ptr=0x23e7f23d130 at 23e114e5ff0>
2026-02-23 21:01:52,031 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeInfo) ptr=0x23e7f23d130 at 23e1159ccb0>
2026-02-23 21:01:52,032 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeInfo) ptr=0x23e10354428 at 23e114e5a30>
2026-02-23 21:01:52,032 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeInfo) ptr=0x23e7f23d188 at 23e115c07d0>
2026-02-23 21:01:52,032 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeLib) ptr=0x23e103075a0 at 23e1163c370>
2026-02-23 21:01:52,032 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeInfo) ptr=0x23e7f23d130 at 23e115c01d0>
2026-02-23 21:01:52,032 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeInfo) ptr=0x23e7f23d130 at 23e115d9e50>
2026-02-23 21:01:52,032 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeLib) ptr=0x23e103075a0 at 23e116312b0>
2026-02-23 21:01:52,032 | comtypes._post_coinit.unknwn | DEBUG    | Release <POINTER(ITypeInfo) ptr=0x23e7f23d340 at 23e115c9f20>
